"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"SFRP4",4.44162661690343e-52,-2.1147786039699,0.637,0.852,9.71827903778471e-48
"DSTN",7.94922006780225e-52,1.12567996698211,0.98,0.886,1.73928935083513e-47
"FGFR4",5.30029193260978e-51,2.13147762047067,0.803,0.237,1.15970387485502e-46
"TOP2A",1.61113633690658e-50,-3.90048759302342,0.181,0.547,3.52516630515159e-46
"SCN1A",4.60104889893575e-50,3.8392950315863,0.608,0.042,1.00670949908714e-45
"ITGB5",6.79449847812555e-50,1.58795639131438,0.885,0.373,1.48663626701387e-45
"ACSL3",3.06380263032944e-49,1.322830950846,0.949,0.657,6.70360015516081e-45
"ZNF706",8.62263162881795e-49,1.39646616735367,0.958,0.699,1.88663180038537e-44
"NEB",1.39141883780986e-48,4.39364231621033,0.613,0.068,3.04442441712797e-44
"ARPC3",1.81713736972072e-48,0.755565798678202,0.996,0.941,3.97589656494894e-44
"TMEM160",2.38373031298699e-48,0.951354722468628,0.976,0.78,5.21560192481554e-44
"VASH2",3.78101822587569e-48,1.81859444309767,0.841,0.314,8.272867878216e-44
"ACSF2",3.82926321040998e-48,2.38276176763857,0.726,0.157,8.37842790437703e-44
"NUPR1",4.547440364895e-48,-2.86425970619483,0.582,0.831,9.94979951839025e-44
"HP",1.23263719283353e-47,-5.6866010212746,0.005,0.161,2.69701017791977e-43
"CAVIN3",1.41591636235862e-47,1.11736653094876,0.964,0.788,3.09802500084067e-43
"GFPT2",1.66604114664506e-47,-3.77052528041547,0.065,0.352,3.64529802885939e-43
"SNX25",2.86852724462793e-47,1.47824914207464,0.899,0.449,6.27633761124591e-43
"FN1",5.1417405107248e-47,1.41619539162057,0.963,0.589,1.12501282374659e-42
"ECM1",1.1827395596857e-46,-2.90541253923632,0.381,0.686,2.58783415659232e-42
"COL5A1",2.36584034246124e-46,1.43290340229308,0.936,0.572,5.17645866930518e-42
"MAGEF1",8.5545396064968e-46,2.39432330964724,0.709,0.169,1.8717332659015e-41
"LOXL1",1.25585608046568e-45,1.49366102437644,0.893,0.479,2.7478131040589e-41
"TNNC2",1.31040693519218e-45,5.46814265836423,0.567,0.042,2.86717037420049e-41
"C6H4orf3",5.80390984013085e-45,0.917572979668179,0.976,0.809,1.26989547302063e-40
"SPON1",1.66834811054576e-44,-3.9597462943968,0.03,0.254,3.65034566587413e-40
"SLC25A4",6.78068686485386e-44,1.27145773402388,0.932,0.648,1.48361428603002e-39
"TKT",8.19729851333523e-44,-1.38121556283537,0.712,0.898,1.79356891471775e-39
"CD55",1.07529122044013e-43,-2.30276386104683,0.518,0.775,2.352737190323e-39
"ENSBTAG00000034220",1.4908808842313e-43,2.47369846601105,0.688,0.174,3.26204737469808e-39
"CSRP1",2.33648629852383e-43,1.0142313142453,0.948,0.725,5.11223202117015e-39
"SPATS2L",5.23187849341117e-43,1.13803173022449,0.988,0.818,1.14473501435836e-38
"SERPING1",8.92915475808714e-43,-1.57643069271058,0.685,0.852,1.95369906106947e-38
"GADD45G",1.22317247263003e-42,3.037629351096,0.659,0.157,2.67630137011451e-38
"S100A11",1.44380919521335e-42,0.584908813177937,1,1,3.1590545191268e-38
"SOX18",2.05828072644763e-42,-8.13474116388661,0.001,0.114,4.50351822946742e-38
"CBLN4",2.66099258703697e-42,1.69710320815469,0.751,0.246,5.8222517804369e-38
"RBP4",4.50978707177625e-42,-2.02388731110527,0.543,0.763,9.86741411304644e-38
"SERPINE2",4.67300887636314e-42,-1.99893264648239,0.603,0.788,1.02245434214826e-37
"PKM",7.31524599778019e-42,0.604464342378507,0.999,0.983,1.60057582431431e-37
"ANP32B",9.16059296306061e-42,-0.82689946088955,0.979,0.979,2.00433774031766e-37
"SERF2",1.55631297714168e-41,0.658187247016214,0.999,0.958,3.40521279398599e-37
"IRX5",1.81581454833765e-41,2.83630723166948,0.563,0.051,3.97300223176277e-37
"GLUL",2.13216644102189e-41,-1.70114237861992,0.682,0.835,4.6651801729559e-37
"EFEMP2",2.40662339427414e-41,1.55285710344845,0.84,0.356,5.26569198667181e-37
"RBFOX2",3.48371441233601e-41,1.50983092019012,0.844,0.419,7.62236713419119e-37
"CCL2",7.49272622343596e-41,-2.100433993692,0.475,0.737,1.63940849768779e-36
"TPM1",1.33893616076034e-40,0.880346519613834,0.995,0.958,2.92959231974363e-36
"MAP1LC3A",1.57867973467146e-40,1.03445596033825,0.973,0.737,3.45415125946116e-36
"CDKN1C",1.79622041399071e-40,2.0265719878011,0.824,0.381,3.93013026581168e-36
"MX1",1.96065524583656e-40,1.63779099087016,0.779,0.288,4.2899136778904e-36
"H3-3A",2.36031420556301e-40,0.554516964061412,0.999,0.987,5.16436748177186e-36
"FEZ1",3.28483107629806e-40,1.75095581948671,0.739,0.233,7.18721039494015e-36
"TNS1",3.49704132099359e-40,1.38753753441174,0.886,0.47,7.65152641033399e-36
"B3GALT2",4.34260667538315e-40,2.27128610140555,0.665,0.165,9.50162340573834e-36
"LUM",4.70250891302725e-40,1.05964658510371,0.975,0.758,1.02890895017036e-35
"S100A13",4.72583343265781e-40,-1.51490144135863,0.862,0.911,1.03401235506553e-35
"MSLN",1.52874637721826e-39,4.122621482503,0.499,0.017,3.34489707335356e-35
"RPS21",1.67283184322308e-39,-0.358688515224214,0.999,0.996,3.66015607297209e-35
"DCBLD2",1.84957774723469e-39,1.55007710924873,0.828,0.386,4.0468761109495e-35
"EEF1A1",1.96676896803062e-39,0.332531260393424,1,1,4.303290502051e-35
"CXCL8",2.89002991831715e-39,-4.76751092673849,0.015,0.182,6.32338546127793e-35
"MRPL33",2.96745657339874e-39,1.23145811606422,0.912,0.597,6.49279498259643e-35
"MKI67",4.85329618339396e-39,-2.43282015085203,0.251,0.589,1.0619012049266e-34
"CCDC88A",5.69653687631298e-39,1.072688024294,0.978,0.78,1.24640226853728e-34
"CXCL3",5.80628758039893e-39,-1.4828124832147,0.325,0.665,1.27041572259129e-34
"FST",6.88631720514858e-39,4.93091400651993,0.522,0.055,1.50672620448651e-34
"RPLP0",5.12286649075867e-38,0.281140273013208,1,1,1.120883188178e-33
"TNNT2",6.93001845437084e-38,5.70594338444407,0.485,0.025,1.51628803781634e-33
"ADIRF",7.61492123138838e-38,-1.7029901996369,0.565,0.818,1.66614476542778e-33
"PRKAR2B",1.40450236338523e-37,2.10394560070554,0.635,0.136,3.07305117108688e-33
"MXD4",1.99711554683059e-37,1.20634622102508,0.917,0.487,4.36968881646533e-33
"ID3",2.4733204570754e-37,1.86191609059129,0.775,0.314,5.41162516008097e-33
"CXCL9",3.86154059210837e-37,2.84183547072243,0.669,0.208,8.44905081553312e-33
"ADORA2B",4.63780607056384e-37,-2.30492168316973,0.122,0.424,1.01475196823937e-32
"TLR2",1.08131917871059e-36,-3.11104086030245,0.061,0.305,2.36592636301876e-32
"FITM1",1.98265227630901e-36,2.88570316035565,0.584,0.127,4.33804318056412e-32
"CCN2",2.15740880494248e-36,1.80511087518052,0.784,0.331,4.72041046521415e-32
"NCAM1",2.7681033081343e-36,1.39302868504911,0.87,0.462,6.05661003819785e-32
"FCGRT",5.45589202644936e-36,1.25085431464706,0.905,0.504,1.19374917538712e-31
"ANGPTL4",6.09502625598543e-36,-3.47261870217586,0.051,0.275,1.33359174480961e-31
"METRN",1.3372166155948e-35,3.66333574144328,0.461,0.013,2.92582995492142e-31
"KNL1",1.75773863710047e-35,-3.0372883928624,0.13,0.415,3.84593213797582e-31
"CHD3",2.22761014031399e-35,1.60926894307069,0.753,0.288,4.87401098700702e-31
"MFSD10",2.52615563420575e-35,1.29362580654537,0.863,0.424,5.52722852764217e-31
"CD82",3.81389603342625e-35,1.51033442011861,0.839,0.419,8.34480452113664e-31
"VIM",4.17222551150662e-35,0.496858637936547,1,1,9.12882941917648e-31
"LTA4H",5.08240415338384e-35,1.66400966089883,0.726,0.246,1.11203002876039e-30
"CAPNS1",1.04887430143583e-34,0.639471743884412,0.984,0.911,2.2949369715416e-30
"RPL10",1.31109774871212e-34,0.299018425279998,1,1,2.86868187418212e-30
"CTSK",1.53853149381134e-34,-1.72436166678049,0.917,0.924,3.36630690845921e-30
"PLK2",2.27416909130363e-34,1.8557088652392,0.671,0.199,4.97588197177235e-30
"MDFI",3.15037085191424e-34,1.54313069689323,0.735,0.28,6.89301142398836e-30
"MYF5",7.72252821277447e-34,1.53076438924568,0.807,0.403,1.68968917295505e-29
"CLTB",9.55980705242455e-34,1.04011528913784,0.913,0.585,2.09168578307049e-29
"ACADVL",1.0093996465187e-33,1.08616384362493,0.913,0.547,2.20856642658292e-29
"CAV3",1.08009467756079e-33,3.80673156320854,0.445,0.013,2.36324715450301e-29
"TMEM40",1.09486247279375e-33,5.45910998182622,0.427,0.004,2.39555909047273e-29
"BIN1",1.70142835761064e-33,0.983527443163158,0.94,0.576,3.72272524645209e-29
"DDAH2",2.08891613461352e-33,1.2975819904788,0.832,0.373,4.57054850253439e-29
"ADH5",2.27076860661579e-33,1.11902464828353,0.929,0.53,4.96844171127535e-29
"MICALL2",2.33252260600202e-33,1.28000879313566,0.833,0.377,5.10355946193242e-29
"MT3",2.57939527141133e-33,-3.74810432394669,0.044,0.25,5.643716853848e-29
"PALLD",2.92644438533341e-33,1.15741439053457,0.883,0.525,6.40306031510951e-29
"MEST",5.61521086577684e-33,1.81533408489337,0.75,0.339,1.22860813743197e-28
"RPL37",7.552744888916e-33,-0.282577378563341,1,1,1.65254058169482e-28
"ELL2",9.71993955344168e-33,2.12279185059988,0.598,0.148,2.12672277429304e-28
"MAP1A",1.02777620645881e-32,0.857230384294285,0.976,0.839,2.24877433973188e-28
"CDC20",1.0358037243119e-32,-2.42146446173055,0.162,0.458,2.26633854879444e-28
"DSE",1.16577757607646e-32,1.80084353511868,0.634,0.191,2.5507213364553e-28
"HMGB1",1.5042247472292e-32,-0.756528293980083,0.995,1,3.29124374693748e-28
"TSPAN6",2.45741743842234e-32,1.18208707022295,0.892,0.534,5.37682935526808e-28
"CPNE2",2.60481236228484e-32,1.78273932257945,0.621,0.157,5.69932944867923e-28
"SYTL2",2.95570897210279e-32,1.36829943320255,0.784,0.339,6.4670912309609e-28
"SLC11A1",5.27624456257446e-32,-5.27947013568518,0.008,0.131,1.15444231029129e-27
"HSPB1",5.70041213078435e-32,-0.678353135753338,0.99,0.979,1.24725017421562e-27
"DNAJB4",5.93495735113054e-32,2.88915269085383,0.5,0.068,1.29856866842736e-27
"HERC4",8.19288528584407e-32,1.62900621469339,0.747,0.322,1.79260330054268e-27
"CHI3L1",1.2042019695562e-31,-2.02615274271984,0.226,0.534,2.63479390938896e-27
"HOGA1",1.4556973908281e-31,2.3867935952889,0.595,0.165,3.18506589113189e-27
"TMEM47",1.64091241838092e-31,0.968005229978915,0.97,0.742,3.59031637141745e-27
"PDLIM4",1.93985066479564e-31,1.02031538563387,0.91,0.559,4.24439325457285e-27
"GNG10",3.26986672388535e-31,0.793415483059813,0.953,0.725,7.15446839186114e-27
"NUSAP1",3.50396801265102e-31,-3.64668720013986,0.08,0.314,7.66668201168043e-27
"MPZL1",4.50702742316691e-31,0.980346350408261,0.926,0.61,9.8613760018892e-27
"PDXK",4.96173329349453e-31,-1.63604840341594,0.554,0.725,1.0856272446166e-26
"SGCA",5.34465560787323e-31,1.51384636118233,0.741,0.326,1.16941064700266e-26
"MAGED1",5.36818086831379e-31,1.17202560483261,0.846,0.47,1.17455797398706e-26
"RAB3IP",7.1838776467196e-31,1.48585235095298,0.697,0.225,1.57183242910225e-26
"MEDAG",9.43212316641156e-31,-2.61456893117929,0.203,0.487,2.06374854881085e-26
"ABCC9",1.15916780033923e-30,-5.36507826270519,0.005,0.11,2.53625914714223e-26
"PXN",1.2968928650032e-30,1.36923167592144,0.722,0.275,2.837601588627e-26
"ANXA5",5.55576137556476e-30,0.576295388804829,0.989,0.928,1.21560058897357e-25
"ANXA6",5.63494628821731e-30,0.605144860911406,0.992,0.881,1.23292624786195e-25
"QSOX1",6.09164231597159e-30,1.6408530623315,0.621,0.165,1.33285133873458e-25
"ENSBTAG00000027629",7.91010263069404e-30,1.75254908991626,0.65,0.216,1.73073045559586e-25
"RBPMS",8.01449332263589e-30,1.73456798543827,0.55,0.106,1.75357113899273e-25
"TXNRD1",8.4680110596019e-30,-1.82801877475005,0.587,0.75,1.8528008198409e-25
"THY1",9.62956895092452e-30,2.46877098225843,0.527,0.11,2.10694968646228e-25
"S100A12",1.07568663093594e-29,-7.3590565120384,0.001,0.081,2.35360234848783e-25
"IFI27L2",1.32876902669043e-29,0.876573881380568,0.904,0.521,2.90734663039867e-25
"P4HA3",1.4599729334325e-29,2.45451441053192,0.558,0.148,3.1944207783503e-25
"VKORC1",1.46676877909905e-29,0.923322983673794,0.926,0.614,3.20929008866873e-25
"CXCL14",1.46844978661558e-29,-3.83058041567808,0.03,0.199,3.21296813311488e-25
"KIFAP3",2.0047805918528e-29,1.03494470939374,0.902,0.581,4.38645993497394e-25
"EZR",2.45177454560181e-29,0.972945808277829,0.97,0.788,5.36448270577676e-25
"ENSBTAG00000016347",3.10260161374449e-29,-0.602129382367801,0.978,0.979,6.78849233087294e-25
"UQCRB",4.9023678044765e-29,0.829226931443998,0.971,0.864,1.07263807561946e-24
"FABP4",5.36411295836916e-29,3.18748241716346,0.526,0.127,1.17366791529117e-24
"PTPRF",6.11488522775537e-29,2.14769751779564,0.508,0.081,1.33793688783287e-24
"BCAM",6.95539774257424e-29,1.42285100189548,0.765,0.352,1.52184102607524e-24
"CCNA2",7.50309863462206e-29,-3.21734282179681,0.073,0.292,1.64167798125531e-24
"TENT5A",1.02828303523876e-28,3.38979712530179,0.428,0.038,2.24988328110241e-24
"OAT",1.05525954522885e-28,0.989128283988364,0.848,0.47,2.30890788496071e-24
"RSU1",1.12928750546824e-28,0.922583360392606,0.909,0.547,2.4708810619645e-24
"CXCL11",1.24903389160566e-28,2.03054036035051,0.59,0.182,2.73288615483319e-24
"GCH1",2.08866729096482e-28,-2.85042279466265,0.142,0.394,4.57000403263103e-24
"ENSBTAG00000053984",2.08867081577306e-28,2.86604954910052,0.427,0.034,4.57001174491145e-24
"RPL34",2.59980133235632e-28,-0.280347909477914,1,1,5.68836531519563e-24
"RETREG1",2.87409108026064e-28,-4.8201543750675,0.015,0.148,6.28851128361027e-24
"ENSBTAG00000047265",2.89262307700059e-28,0.628991254482371,0.995,0.945,6.3290592924773e-24
"C28H1orf198",3.50836035671383e-28,1.71590472954092,0.607,0.182,7.67629246048986e-24
"S100A16",4.15277513546266e-28,0.646965596521795,0.996,0.915,9.08627199639231e-24
"VGLL3",5.01570449922688e-28,1.89230739297407,0.547,0.131,1.09743614443084e-23
"CCDC102B",5.79140715745507e-28,2.31786724615258,0.479,0.076,1.26715988605117e-23
"FLYWCH2",6.38098130722816e-28,1.49654283401098,0.641,0.195,1.39615871002152e-23
"SEPTIN9",7.47991608249116e-28,0.840830027456984,0.945,0.695,1.63660563884907e-23
"FBN1",8.76927212773936e-28,-0.978508954514028,0.933,0.924,1.91871674154937e-23
"REXO2",1.09614848826645e-27,0.609800166131938,0.988,0.911,2.39837289232699e-23
"HSPE1",1.14267662212011e-27,-0.607037500649586,0.98,0.983,2.50017644919881e-23
"CAMK2N1",1.60534678612304e-27,1.70697373909062,0.554,0.144,3.51249876803721e-23
"RAPSN",2.40343558324734e-27,0.8270151571063,0.933,0.623,5.25871705614519e-23
"PCOLCE",2.74886607631569e-27,1.59657598731295,0.691,0.254,6.01451897497874e-23
"LAPTM4A",2.86497316637958e-27,0.557483197033461,0.99,0.911,6.26856128803853e-23
"NR2F1",3.35066039091785e-27,2.83786987743563,0.433,0.051,7.33124493532826e-23
"CTNNAL1",5.44494310546516e-27,1.28586283718601,0.711,0.301,1.19135355147578e-22
"ZYX",6.63820122179364e-27,0.695118752473286,0.979,0.873,1.45243842732845e-22
"ANXA3",7.52845020968813e-27,1.3430405028303,0.707,0.314,1.64722490587976e-22
"SAA3",1.00848049495863e-26,-4.2656762864363,0.119,0.356,2.20655532296949e-22
"NTN4",1.46881633489071e-26,0.982259257609555,0.835,0.453,3.21377014074087e-22
"ADORA1",1.81602783752534e-26,2.57617286631463,0.453,0.072,3.97346890850544e-22
"IER3IP1",1.90313902523709e-26,1.06969906970749,0.844,0.496,4.16406818721875e-22
"EPHB3",2.05806780853649e-26,3.29281793551779,0.385,0.021,4.50305236507784e-22
"MPC2",2.29950166711277e-26,0.775624290960346,0.949,0.737,5.03130964764275e-22
"BCAR3",2.32403836675471e-26,1.93590216395888,0.542,0.136,5.0849959464593e-22
"CHRNG",2.71198390354915e-26,1.67346602913755,0.485,0.089,5.93382078096555e-22
"RPL38",2.8840380605046e-26,-0.370534835164171,0.996,0.992,6.31027527638406e-22
"PPIB",3.28956063900635e-26,0.405909625872098,0.999,0.987,7.1975586781459e-22
"SLC44A2",3.76687771108832e-26,1.2046264162574,0.78,0.364,8.24192843186124e-22
"CAP2",4.17702156174764e-26,1.92978818941995,0.535,0.136,9.13932317710383e-22
"FKBP7",4.1808554289095e-26,1.14132198554283,0.731,0.326,9.14771167845399e-22
"EID1",4.47544148868188e-26,1.04624768139726,0.806,0.407,9.79226597723595e-22
"CAVIN2",5.89983861491933e-26,2.88482058282682,0.402,0.034,1.29088468894435e-21
"NNAT",6.75044760327352e-26,2.71765551661539,0.47,0.093,1.47699793559625e-21
"PRDX2",7.36148035309822e-26,0.479536647434944,0.998,0.979,1.61069190125789e-21
"TSC22D2",7.57348229500666e-26,1.65831166279523,0.625,0.246,1.65707792614746e-21
"ATP5PF",8.85093224137325e-26,0.549573690186743,0.993,0.949,1.93658397441247e-21
"SMC2",9.74400938760778e-26,-1.86912442375231,0.406,0.627,2.13198925400858e-21
"PLD3",1.00640137149515e-25,1.38921185454024,0.666,0.254,2.20200620083139e-21
"LMNA",1.0090100292091e-25,0.523065077253026,0.998,0.962,2.20771394390952e-21
"HSPD1",1.2758710704917e-25,-0.719453920423235,0.974,0.975,2.79160590223583e-21
"S100A2",1.4574459573683e-25,-0.965432859945288,0.879,0.924,3.18889175472184e-21
"FHL2",1.55419538940973e-25,0.983122697985833,0.866,0.53,3.40057951202848e-21
"NCAPG",1.93922185228996e-25,-2.22368253039997,0.303,0.542,4.24301741281044e-21
"LOX",2.66214811344448e-25,2.12656480044368,0.497,0.106,5.82478007221653e-21
"RAP1GDS1",2.66248118390157e-25,1.1536252973048,0.695,0.263,5.82550883037664e-21
"CENPE",2.69323934662392e-25,-1.90144609784595,0.302,0.564,5.89280769041314e-21
"ADAMTSL4",2.78400328904544e-25,-2.26887637177626,0.185,0.436,6.09139919643143e-21
"MYLPF",3.12005791834481e-25,5.17689055641225,0.351,0.008,6.82668672533845e-21
"ASNS",4.34653950478499e-25,1.34223932711972,0.782,0.419,9.51022843646955e-21
"MMP9",4.5603111885676e-25,-6.11366324327989,0.002,0.081,9.9779608805859e-21
"H2AZ1",5.75587723934093e-25,-0.660642217684413,0.96,0.987,1.2593859399678e-20
"GPNMB",6.63760370866346e-25,-3.62153892777146,0.037,0.199,1.45230769145557e-20
"PPP1R12A",6.80699713427132e-25,0.787557393539899,0.921,0.606,1.48937097297856e-20
"EHD2",6.81515427535317e-25,0.71846039433609,0.963,0.771,1.49115575544727e-20
"S100A8",6.981772217462e-25,-5.75820999367718,0.002,0.076,1.52761176118068e-20
"RPS2",7.77868217665414e-25,0.211754739125284,1,1,1.70197566025193e-20
"MRPS25",9.84390446353154e-25,1.0044916444178,0.898,0.547,2.1538462966207e-20
"CCNB1",9.87961240749225e-25,-2.71924467775697,0.156,0.394,2.1616591947593e-20
"ANXA8L1",9.98505319923223e-25,-1.78950783514664,0.342,0.593,2.18472963999201e-20
"AK2",1.00073948023954e-24,-1.19818038926266,0.792,0.797,2.18961798276412e-20
"SCD",1.0189682241148e-24,1.23385002359324,0.827,0.525,2.22950247436318e-20
"ZNF330",1.11124163823283e-24,1.33246824993323,0.62,0.199,2.43139670445343e-20
"RPL35",1.19215751526917e-24,-0.29342258870822,0.999,1,2.60844064340893e-20
"PRRX1",1.21820072198018e-24,1.01336161602131,0.903,0.602,2.66542317969264e-20
"ANKRD2",1.32077786088009e-24,2.46484381691905,0.437,0.072,2.88986195960563e-20
"HMCES",1.34508673594609e-24,1.03526043324976,0.794,0.403,2.94304977825004e-20
"PDGFRL",1.38614803883627e-24,1.99654621258487,0.505,0.114,3.03289190897377e-20
"THSD1",1.87211316564272e-24,1.07405907415034,0.79,0.394,4.09618360642627e-20
"GSK3B",1.90824177332018e-24,1.0208187646686,0.723,0.331,4.17523300002456e-20
"PEAK1",1.94094461301746e-24,1.65263683273934,0.525,0.131,4.2467868132822e-20
"COX20",3.22514287070511e-24,1.15368191634297,0.638,0.22,7.05661260110278e-20
"METRNL",3.22709581603535e-24,1.23544066003852,0.817,0.466,7.06088564548535e-20
