"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MT1A",1.1744183751596e-273,-7.08443108166922,0.087,0.996,2.56962740484921e-269
"MT1E.1",1.84093859183552e-186,-5.9794501590896,0.225,0.979,4.02797363893611e-182
"IL1R2",2.15216767284665e-153,-7.94090339987506,0.006,0.436,4.70894286818847e-149
"CXCL5",6.86830007172346e-139,-4.29160595343498,0.484,0.987,1.50278405569309e-134
"MT2A",2.1739635709911e-135,-4.95528435919785,0.67,1,4.75663229332853e-131
"FTH1",5.6610876608059e-127,-2.13675137494,1,1,1.23864598018433e-122
"MT1E",7.80580963164868e-126,-5.00770919692359,0.155,0.75,1.70791114740473e-121
"GPX3",1.16014301783035e-121,-8.37056050514894,0.014,0.403,2.53839292301281e-117
"CCDC80",1.68437692908958e-118,3.16939637376907,0.999,0.801,3.685416720848e-114
"SOD2",7.67312425954856e-116,-3.488190671642,0.807,0.992,1.67887958798923e-111
"ENO3",3.52859600641666e-105,3.34267080804572,0.977,0.504,7.72056806203964e-101
"ANXA2",1.07895109364967e-104,1.45506877144015,1,1,2.36074499290548e-100
"RPS28",2.33842142184074e-101,-0.651538485102933,1,1,5.11646607098754e-97
"COL1A2",1.4144036724977e-99,2.95579102439405,0.998,0.822,3.09471523542497e-95
"FTL",5.01860213115218e-93,-1.85433178260176,0.994,1,1.0980701462961e-88
"IGFBP1",1.91779512727018e-92,-11.1488782950305,0.002,0.258,4.19613573846716e-88
"CCND1",2.34944100479242e-91,3.2667897545897,0.916,0.275,5.14057691848582e-87
"RARRES1",2.33752017228436e-90,4.59375393549748,0.872,0.153,5.11449413695817e-86
"NEXN",6.473828136857e-89,2.01986164364421,0.992,0.86,1.41647359634431e-84
"SPARC",8.29511685475606e-88,1.74346311237636,0.999,0.962,1.81497156782063e-83
"ECHDC1",3.27062727556917e-87,2.24598826590752,0.987,0.699,7.15613247894535e-83
"FLNC",3.2691717186736e-86,2.23323999787961,0.973,0.496,7.15294772045784e-82
"RPS29.1",4.61898659067737e-86,-0.62061596685393,1,1,1.01063426604021e-81
"PTN",1.43358152386622e-84,4.78665400315309,0.832,0.123,3.13667637421929e-80
"COL1A1",1.75117688538656e-84,3.24586236006004,0.972,0.585,3.83157502522579e-80
"MYL9",2.25659687413904e-83,2.30207226963514,0.952,0.432,4.93743396061621e-79
"ACTC1",7.13090439552599e-83,6.91508556894082,0.783,0.025,1.56024188174109e-78
"PRXL2B",8.6414921139985e-83,1.90926500424338,0.99,0.712,1.89075847454287e-78
"MYL6",4.06066667759315e-81,1.01885602298093,0.999,1,8.88473869057382e-77
"LMO7",5.31017927888063e-81,3.1693743169889,0.898,0.258,1.16186722621908e-76
"CDH13",1.65587117007888e-80,2.58917764582847,0.942,0.411,3.62304612013259e-76
"TNFRSF6B",7.33098004633109e-80,-2.67590240024887,0.46,0.856,1.60401843413724e-75
"PFN1",1.5575911527536e-77,0.913863033322799,1,0.996,3.40800944222487e-73
"FBLN2",2.267803080113e-77,2.70820081746215,0.878,0.186,4.96195313928725e-73
"AIF1L",6.50604077399808e-77,2.76291953993364,0.883,0.275,1.42352172135078e-72
"TIMP2",4.78758806208809e-76,1.46213256536114,0.999,0.945,1.04752426798487e-71
"CD36",2.44651293295056e-74,-6.29978932361302,0.011,0.263,5.35297029729583e-70
"CCND2",2.50327802766928e-74,1.954162719973,0.972,0.564,5.47717232454038e-70
"CREB3L1",7.35687646121027e-73,2.30642142836381,0.906,0.39,1.60968456971281e-68
"IRX3",2.42964090175961e-72,2.02370344855462,0.927,0.381,5.31605429305002e-68
"THBS1",2.35345596255196e-71,2.58740919908034,0.95,0.585,5.14936164606369e-67
"COL11A1",2.955206657254e-71,2.4876737054286,0.91,0.305,6.46599216607176e-67
"ITGA7",2.81256095288813e-67,1.82836863492091,0.957,0.547,6.15388336491923e-63
"S100A10",4.71303461777548e-67,0.89194698089814,0.999,1,1.03121197436927e-62
"MYL12A",8.43819980520705e-67,0.871074347727804,0.997,0.953,1.8462781173793e-62
"TXN",1.17059327659096e-66,-0.981358468629438,0.997,1,2.56125808918103e-62
"TRIM63",2.2411100830645e-66,-8.96999632303704,0.004,0.199,4.90354886174513e-62
"TM7SF2",6.18409421353586e-65,4.1165675975525,0.728,0.106,1.35307981392165e-60
"RPS19",1.02059256384419e-64,0.445225893648781,1,1,2.23305652969109e-60
"CD63",1.13708201580141e-64,0.737119301481293,1,0.996,2.48793545057348e-60
"CCND3",1.6961650551138e-64,1.57044266787769,0.986,0.72,3.71120914058898e-60
"LTBP1",3.38848656398779e-64,-5.40632925948746,0.046,0.36,7.41400860200528e-60
"CEBPD",1.12696566078538e-63,-1.19728712054874,0.974,0.992,2.46580086579841e-59
"IL6",3.96591018154247e-63,-4.80925828026587,0.036,0.331,8.67741147721492e-59
"ITIH5",1.76286797723667e-62,1.68197656315898,0.984,0.686,3.85715513419384e-58
"RPLP2",4.77426573573477e-62,-0.368406102948867,0.999,1,1.04460934297877e-57
"FGL2",1.6244273929739e-61,-7.57486762469832,0.001,0.169,3.55424713582688e-57
"HMGB2",1.65842607339271e-61,-2.46216222933219,0.626,0.869,3.62863624858325e-57
"PTMA.1",1.88257226234625e-61,-0.980449637170983,0.997,1,4.11906811001361e-57
"SEPTIN11",3.96302515115179e-61,1.78826937804696,0.926,0.424,8.67109903072012e-57
"MMP23",2.79673339399934e-60,3.66915961573278,0.707,0.085,6.11925266607055e-56
"RPS27L",6.50827261254159e-60,1.02708717162684,0.993,0.894,1.4240100476241e-55
"TPM2",7.12151864679143e-59,1.09337834930031,0.997,0.97,1.55818827991797e-54
"CENPF",8.82326346448278e-59,-2.54930650604629,0.301,0.733,1.93053004602883e-54
"ACTA2",1.21762182715629e-58,2.24737797571282,0.897,0.394,2.66415655781797e-54
"CD81",1.25262228353724e-58,0.948514216837061,0.991,0.873,2.74073755637948e-54
"KLHL41",1.44655729404198e-57,3.20219187104499,0.725,0.119,3.16506735936384e-53
"AHCYL1",1.21796603294645e-56,1.44861537775989,0.954,0.669,2.66490968008683e-52
"PTX3",1.28072677140105e-56,-2.14503707836383,0.816,0.949,2.8022301758255e-52
"TPT1",1.93555722365145e-56,0.515272083778707,1,1,4.23499920534937e-52
"LGALS1",6.34147815314864e-56,0.671060515114426,0.999,0.996,1.38751541990892e-51
"SMARCD3",1.9364246890001e-55,2.08196323484783,0.823,0.242,4.23689721953222e-51
"TGM3",3.12097287792913e-55,-7.68393507401421,0.001,0.148,6.82868865690893e-51
"MYOD1",8.3650545948149e-55,2.67639534343044,0.751,0.169,1.8302739453455e-50
"TMEM189",1.52815672910139e-53,1.71545743103446,0.895,0.441,3.34360692327385e-49
"RBM24",4.87974891620116e-53,2.34954883818963,0.782,0.22,1.06768906286481e-48
"RTN2",6.35830546204631e-53,1.94070654559145,0.867,0.339,1.39119723509573e-48
"EDIL3",3.18434306430101e-52,2.29036101208778,0.742,0.136,6.96734262469061e-48
