"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"EIF3H",7.79145638718309e-27,-0.285607798864919,0.93,0.967,1.70477065751566e-22
"SFPQ",1.26548397668724e-26,-0.412283423525986,0.818,0.892,2.76887894099167e-22
"HDDC2",1.32386654602274e-26,-0.5549985292024,0.646,0.758,2.89662000269775e-22
"LMNB1",1.44789949015648e-26,-1.00691086736469,0.229,0.397,3.16800408446238e-22
"TMSB4X",2.02688687156162e-26,0.252404824895648,1,1,4.43482847497682e-22
"DELE1",2.12817545696164e-26,-0.70849197488937,0.308,0.491,4.65644789983206e-22
"RALA",2.20703313926852e-26,-0.564289088447152,0.599,0.75,4.82898850871952e-22
"PRDX1",2.36948836818137e-26,-0.300663952711497,0.977,0.983,5.18444054958084e-22
"CDC20B",2.50538672898006e-26,3.00769112178883,0.103,0.017,5.48178616300836e-22
"U2SURP",2.63739849849229e-26,-0.433164090685953,0.622,0.769,5.77062791470112e-22
"CCDC88A",3.01703422892038e-26,-0.343417941325741,0.967,0.978,6.60127089287779e-22
"OXT",3.05431402699848e-26,1.59953616376415,0.329,0.181,6.68283909107268e-22
"IFITM1",3.22942929150187e-26,-0.78591939355715,0.207,0.377,7.06599128980608e-22
"YWHAH",3.31628195522182e-26,-0.497467976621065,0.768,0.838,7.25602491802534e-22
"H3-3B",3.48721178383306e-26,-0.261254254524613,0.973,0.99,7.63001938302674e-22
"PGAM1",4.24376103004877e-26,-0.307856038028045,0.977,0.989,9.28534913374671e-22
"HOGA1",5.83555209366527e-26,-0.948988737626417,0.473,0.595,1.27681879809396e-21
"ENSBTAG00000048631",6.83546703714893e-26,0.945367292369887,0.467,0.324,1.49560018772818e-21
"AIMP1",7.84324949672042e-26,-0.258616790764549,0.951,0.964,1.71610298988243e-21
"MND1",7.95034170166347e-26,-1.35061104154545,0.109,0.242,1.73953476432397e-21
"MPST",1.47440470367751e-25,-0.489202260639962,0.678,0.81,3.22599749164639e-21
"HSPB1",1.55056803137778e-25,-0.263016759384827,0.983,0.99,3.39264285265458e-21
"NR2F1",1.92806927042152e-25,0.817758420004516,0.572,0.433,4.21861556368228e-21
"CITED2",2.06415057708988e-25,0.333092377291929,0.976,0.944,4.51636146267265e-21
"LAMC1",2.44865329464457e-25,0.381682880216928,0.967,0.949,5.35765340868232e-21
"PALM2",2.60253916225276e-25,0.429991724367588,0.921,0.886,5.69435568700903e-21
"PSMA3",2.74305696591271e-25,-0.402466028575225,0.747,0.845,6.00180864141702e-21
"GPX1",2.75753008494079e-25,-0.423314448937569,0.822,0.904,6.03347582585046e-21
"SERF1A",2.7656264133764e-25,0.639134893105502,0.671,0.565,6.05119059246757e-21
"COL3A1",2.80544012580778e-25,0.346433410308014,0.999,0.995,6.13830299526741e-21
"IFRD2",3.05690062837947e-25,-0.402636163487534,0.817,0.872,6.68849857489427e-21
"HMGN5",3.1833873352197e-25,-1.38907446546393,0.092,0.22,6.96525148946071e-21
"COPS6",3.25109520465639e-25,-0.285056322886917,0.909,0.944,7.11339630778817e-21
"HPGD",3.25238322550552e-25,-2.1519220422853,0.025,0.114,7.11621449740609e-21
"RAB34",3.31112041557669e-25,-0.28399554321036,0.916,0.941,7.2447314692818e-21
"COPZ2",3.50876910542417e-25,0.415058286831761,0.875,0.844,7.67718680266808e-21
"EIF3E",3.60551953165459e-25,-0.217749572983128,0.98,0.992,7.88887673526024e-21
"SIGMAR1",3.6636330874077e-25,-0.991261582931298,0.182,0.335,8.01602919524804e-21
"TMEM126A",4.07981720491889e-25,-0.492162121629292,0.634,0.766,8.92664004436254e-21
"ALYREF",4.08866976847702e-25,-0.300432982245793,0.929,0.951,8.94600945342771e-21
"ANXA3",4.42279042470125e-25,0.534386049722332,0.777,0.707,9.67706544924634e-21
"SNRPG",4.42352277954228e-25,-0.341128980090119,0.877,0.915,9.6786678416385e-21
"CBX5",4.93397700233365e-25,-0.433291306308211,0.739,0.852,1.0795541681106e-20
"FARP1",6.73375467825442e-25,0.591095680367411,0.717,0.618,1.47334552360207e-20
"TLN1",7.30575093508813e-25,0.266017109518093,0.982,0.981,1.59849830459728e-20
"WSB1",8.13131721119843e-25,0.647256552497586,0.644,0.532,1.77913220581022e-20
"PHLDB2",1.01283114524994e-24,0.729048063424061,0.636,0.519,2.21607454580687e-20
"AK2",1.09793634337664e-24,-0.457181265133255,0.675,0.792,2.40228471930809e-20
"CCND1",1.3557266037529e-24,0.3316516342788,0.952,0.916,2.96632980901134e-20
"MT2A",1.46872837195532e-24,-1.71715096553424,0.532,0.67,3.21357767783824e-20
"NES",1.59365421615614e-24,0.767368081223283,0.772,0.695,3.48691542494963e-20
"COX5A",1.81798521234848e-24,-0.268055487216571,0.941,0.968,3.97775164461847e-20
"ENSBTAG00000002416",1.96445424299634e-24,1.69122791678302,0.197,0.079,4.29822588367599e-20
"PEBP1",2.38177578296753e-24,-0.225200004344881,0.977,0.987,5.21132541313295e-20
"PSMB3",2.64112226516203e-24,-0.320784654323239,0.881,0.933,5.77877551617453e-20
"NPM3",2.8019502920224e-24,-0.784140789931061,0.323,0.475,6.13066723894502e-20
"AHCY",2.97410482152533e-24,-0.322995919735021,0.89,0.924,6.50734134949743e-20
"YWHAZ",3.44186037023184e-24,-0.33039623887027,0.865,0.92,7.53079049006727e-20
"AOPEP",3.46318238552994e-24,-0.349539643827372,0.919,0.951,7.5774430595395e-20
"TMEM40",3.48870745945538e-24,0.710732182844163,0.563,0.427,7.63329192128838e-20
"PCSK1N",4.29482136010347e-24,1.28665845755376,0.377,0.247,9.39706913590639e-20
"EEF1A2",5.13111129680565e-24,-1.83769077805369,0.067,0.178,1.12268715174108e-19
"CD82",5.19170356161888e-24,-0.456572820085841,0.744,0.839,1.13594473928221e-19
"ZC3H15",5.67685748239416e-24,-0.315768547647951,0.873,0.932,1.24209641714784e-19
"MRPS16",5.99962217584791e-24,-0.360195099638698,0.831,0.894,1.31271733207552e-19
"DDX46",6.22528907065419e-24,-0.436598692614047,0.728,0.831,1.36209324865914e-19
"LENG8",6.46022885308913e-24,0.67878677896592,0.593,0.47,1.4134980730559e-19
"TP53INP1",9.57455220164767e-24,0.426607007213937,0.868,0.808,2.09491202172051e-19
"PTPRF",9.86354170458964e-24,0.726479528375178,0.62,0.508,2.15814292496421e-19
"CCT8",1.01960679996505e-23,-0.307109149329,0.899,0.927,2.23089967832354e-19
"SSRP1",1.0253411251362e-23,-0.394540271197941,0.856,0.899,2.24344638179801e-19
"DNAJC12",1.03370462973651e-23,-0.743789908863942,0.299,0.463,2.26174572986348e-19
"ENSBTAG00000001143",1.10029799789157e-23,1.25474775461221,0.323,0.189,2.40745201938676e-19
"SF3B2",1.21761697649059e-23,-0.308959671196285,0.898,0.937,2.66414594456141e-19
"NFIB",1.29357035402888e-23,-1.36571039239046,0.083,0.203,2.83033193461519e-19
"CDC5L",1.36308089650907e-23,-0.344949136799898,0.838,0.903,2.98242100156184e-19
"LDHA",1.5439597363988e-23,-0.454148553474165,0.798,0.841,3.37818390324058e-19
"TKT",1.60104269493971e-23,-0.607103462500344,0.616,0.712,3.50308141652809e-19
"LAMP1",1.72996946423743e-23,0.286236262257991,0.988,0.988,3.7851731877515e-19
"PSMA4",1.90360292574187e-23,-0.327488578616933,0.866,0.92,4.16508320152321e-19
"UHRF1",2.07321258120483e-23,-1.51154646020591,0.077,0.189,4.53618912767617e-19
"FKBP4",2.13015544794314e-23,-0.409805962027567,0.765,0.845,4.6607801200996e-19
"EBP",2.29384752266016e-23,-0.508148729291401,0.517,0.66,5.01893837958043e-19
"MYH9",2.29984265598715e-23,0.356949004660071,0.97,0.955,5.03205573129989e-19
"TNC",2.60918064275159e-23,1.62087447299676,0.466,0.349,5.70888724634049e-19
"TOMM40",2.65708730198363e-23,-0.576565938203573,0.556,0.689,5.81370701674018e-19
"RPLP0",2.7130069078743e-23,-0.0849387743035805,1,1,5.93605911442897e-19
"EIF3G",2.90270236369341e-23,-0.225110728014269,0.964,0.982,6.35111277176119e-19
"RPL28",3.03057405407922e-23,-0.0992401510967893,1,1,6.63089603032534e-19
"GSTM3",3.06929732111982e-23,-0.881052822682929,0.223,0.377,6.71562253861016e-19
"CCT6A",3.13421109117944e-23,-0.324989206767345,0.893,0.926,6.85765386750062e-19
"SAT1",3.17593824944488e-23,0.412086638394058,0.976,0.958,6.9489528897854e-19
"ITFG1",3.25597029079576e-23,0.69454961827455,0.561,0.442,7.12406299626112e-19
"APOD",4.1531376413618e-23,-1.03872539091474,0.422,0.569,9.08706515929962e-19
"PCNA",4.21718573932296e-23,-0.766373549904572,0.409,0.563,9.22720239763863e-19
"THSD1",4.25740118256335e-23,0.431170525762275,0.855,0.79,9.31519378744861e-19
"ATP2B1",4.29074671319527e-23,0.45822117465074,0.878,0.848,9.38815380847126e-19
"RPS10",4.7551063149072e-23,-0.0848813477325416,1,0.999,1.04041726170169e-18
"RPS7",4.82225886263414e-23,-0.0908999195343565,0.999,1,1.05511023914435e-18
"CKS2",4.84931382241002e-23,-0.689607534189872,0.384,0.54,1.06102986434331e-18
"B9D1",5.06756644576159e-23,-0.458583334298771,0.639,0.764,1.10878353833264e-18
"LMO7",5.28263106979846e-23,0.362231181545701,0.942,0.898,1.1558396780719e-18
"PSME2",6.49699709059487e-23,-0.458403417560742,0.725,0.825,1.42154296342216e-18
"TRIO",7.1227284476522e-23,0.571969961053258,0.7,0.606,1.5584529843463e-18
"YWHAE",7.54679152889009e-23,-0.170887930647688,0.992,0.998,1.65123798652115e-18
"GRIA3",7.89023243746127e-23,1.44275617431695,0.178,0.068,1.72638285731653e-18
"OAT",8.02023352179679e-23,0.399028079159802,0.878,0.848,1.75482709456914e-18
"SMURF2",8.97676117662515e-23,0.64589857865202,0.662,0.552,1.96411534544558e-18
"CHD3",9.2573101352144e-23,0.428675843178903,0.825,0.753,2.02549945758491e-18
"ID3",9.94956670829189e-23,-0.596460757160796,0.663,0.775,2.17696519577427e-18
"RBM25",9.96818800989179e-23,-0.328982411507133,0.832,0.888,2.18103953656432e-18
"CDC25B",1.02004317131375e-22,-1.51290572991101,0.061,0.166,2.23185445883449e-18
"BSG",1.06668832090231e-22,0.26232108240635,0.988,0.982,2.33391404613426e-18
"CYB5B",1.31799621559299e-22,-0.538467538913289,0.52,0.667,2.88377571971747e-18
"PSMA1",1.53266737692723e-22,-0.318332690934997,0.869,0.91,3.35347622071678e-18
"DIPK2A",1.58623407804002e-22,0.711114007519304,0.586,0.469,3.47068016275156e-18
"NPAS2",1.59735285532064e-22,-0.0915943530356937,0.999,1,3.49500804744157e-18
"MVD",1.68872352245171e-22,-0.635519292606073,0.433,0.59,3.69492706712433e-18
"ATP5F1D",1.70381883065656e-22,-0.21180884516932,0.981,0.989,3.72795560147656e-18
"TRIM28",2.56056490622747e-22,-0.379554084809088,0.786,0.861,5.60251601482571e-18
"TFAP2A",2.71821624516653e-22,2.39157242351757,0.116,0.03,5.94745714442438e-18
"FKBP3",2.95304441169648e-22,-0.281221521449874,0.936,0.945,6.4612611727919e-18
"ASRGL1",3.33065980470729e-22,-0.681662158059054,0.324,0.484,7.28748365269954e-18
"NME2",3.47457553009101e-22,-0.284518996545431,0.993,0.99,7.60237125983913e-18
"CBX3.1",3.64223536547652e-22,-0.352497975486674,0.846,0.904,7.96921097966262e-18
